id,category,role,cad_layer,aci,section,segment,scheme,start_x,start_y,start_z,end_x,end_y,end_z,length
deck_secondary_beam_0007,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,6000.0,1075.0,17577.734289,9000.0,1075.0,17866.601434,3013.875284
deck_secondary_beam_0008,deck_secondary_beam,平台次梁,ZJ8_DECK_SECONDARY,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,9000.0,1075.0,17866.601434,12000.0,1075.0,18155.468578,3013.875284
cantilever_edge_beam_0003,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,0.0,-2200.0,17000.0,3000.0,-2200.0,17288.867145,3013.875284
cantilever_edge_beam_0004,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,3000.0,-2200.0,17288.867145,6000.0,-2200.0,17577.734289,3013.875284
cantilever_edge_beam_0005,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,6000.0,-2200.0,17577.734289,9000.0,-2200.0,17866.601434,3013.875284
cantilever_edge_beam_0006,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,9000.0,-2200.0,17866.601434,12000.0,-2200.0,18155.468578,3013.875284
cantilever_edge_beam_0007,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,0.0,2700.0,17000.0,3000.0,2700.0,17288.867145,3013.875284
cantilever_edge_beam_0008,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,3000.0,2700.0,17288.867145,6000.0,2700.0,17577.734289,3013.875284
cantilever_edge_beam_0009,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,6000.0,2700.0,17577.734289,9000.0,2700.0,17866.601434,3013.875284
cantilever_edge_beam_0010,cantilever_edge_beam,外挑边梁,ZJ8_CANTILEVER_EDGE,3,HN-120x120,P1_0_30000:S1_0_12000,double-side-cantilever,9000.0,2700.0,17866.601434,12000.0,2700.0,18155.468578,3013.875284
